stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
DL1,11.4,12.5,10.3,12.5,78.2,1418.8,16930550,12.5,11.0,11.9
DNC,61.0,67.1,54.9,0.0,0.0,0.0,0,0.0,0.0,0.0
DNM,43.0,47.3,38.7,43.0,0.2,1.4,60200,43.0,43.0,43.0
DNP,18.9,20.7,17.1,18.9,0.1,11.4,211660,18.9,18.5,18.6
DP3,108.0,118.8,97.2,108.0,0.1,0.1,10800,108.0,108.0,108.0
DPC,25.0,27.5,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0
DS3,8.6,9.4,7.8,8.9,0.1,30.7,260630,8.9,8.3,8.5
DST,11.9,13.0,10.8,12.6,12.8,564.3,6868640,12.7,11.7,12.2
DTC,11.8,12.9,10.7,11.5,0.1,9.5,109250,11.5,11.5,11.5
DTD,43.3,47.6,39.0,46.4,7.5,184.8,8286010,47.0,42.0,44.8
DTK,14.3,15.7,12.9,15.0,0.1,0.3,4430,15.0,14.3,14.8
DVG,19.7,21.6,17.8,19.9,1.4,7.4,143020,20.0,19.0,19.2
DXP,18.0,19.8,16.2,19.3,1.7,64.9,1207270,19.3,17.5,18.6
DZM,9.2,10.1,8.3,9.5,0.2,29.8,279520,10.0,9.1,9.4
EBS,11.0,12.1,9.9,0.0,0.0,0.0,0,0.0,0.0,0.0
ECI,47.1,51.8,42.4,43.6,0.1,2.8,137220,51.8,43.6,49.0
EID,23.8,26.1,21.5,24.0,0.1,9.8,233620,24.0,23.7,23.8
EVS,38.0,41.8,34.2,38.9,1.0,126.4,4943860,40.0,37.1,39.1
FID,6.2,6.8,5.6,6.8,76.2,784.9,5282730,6.8,6.0,6.7
GDW,23.9,26.2,21.6,26.2,0.2,0.3,7850,26.2,26.1,26.2
GIC,22.1,24.3,19.9,22.2,0.5,2.7,59750,22.4,22.1,22.1
GKM,49.9,54.8,45.0,50.5,1.1,270.7,13514660,50.7,49.7,49.9
GLT,31.0,34.1,27.9,31.0,2.5,4.1,127900,31.5,31.0,31.5
GMA,61.2,67.3,55.1,61.0,0.1,65.6,4001620,61.2,61.0,61.0
GMX,19.0,20.9,17.1,19.0,0.2,1.1,20840,19.1,18.9,18.9
HAD,16.6,18.2,15.0,16.6,0.1,5.4,89640,16.6,16.6,16.6
HAT,22.0,24.2,19.8,22.0,0.1,1.1,23420,22.0,20.4,21.3
HBS,11.4,12.5,10.3,12.0,1.0,64.5,758770,12.1,11.5,11.8
HCC,11.5,12.6,10.4,12.1,0.3,0.4,4830,12.1,12.0,12.1
HCT,12.2,13.4,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0
HDA,25.8,28.3,23.3,26.2,13.7,94.8,2457920,26.2,25.7,25.9
HEV,25.6,28.1,23.1,0.0,0.0,0.0,0,0.0,0.0,0.0
HGM,40.1,44.1,36.1,0.0,0.0,0.0,0,0.0,0.0,0.0
HHC,87.9,96.6,79.2,0.0,0.0,0.0,0,0.0,0.0,0.0
HHG,6.4,7.0,5.8,7.0,3.0,584.3,3858990,7.0,5.8,6.6
HJS,31.6,34.7,28.5,0.0,0.0,0.0,0,0.0,0.0,0.0
HKT,6.5,7.1,5.9,7.1,0.2,6.0,40890,7.1,6.5,6.8
HLC,12.7,13.9,11.5,13.0,0.1,2.1,27020,13.0,12.7,12.9
HLD,39.4,43.3,35.5,41.0,0.1,54.7,2212760,42.8,39.0,40.5
HMH,16.0,17.6,14.4,16.0,0.1,9.8,156650,16.1,15.8,16.0
HMR,20.0,22.0,18.0,18.0,0.2,2.9,52200,18.0,18.0,18.0
HOM,7.9,8.6,7.2,8.5,2.4,202.8,1653060,8.6,7.7,8.1
HPM,10.4,11.4,9.4,0.0,0.0,0.0,0,0.0,0.0,0.0
HTC,34.3,37.7,30.9,0.0,0.0,0.0,0,0.0,0.0,0.0
HTP,46.0,50.6,41.4,48.0,2.0,415.1,19312650,50.0,46.0,46.5
HUT,19.4,21.3,17.5,20.1,56.7,1748.2,34338280,20.2,19.0,19.6
HVT,54.0,59.4,48.6,55.6,0.2,0.9,49140,56.0,54.0,54.3
ICG,12.6,13.8,11.4,13.2,0.2,36.6,463660,13.3,12.3,12.7
IDC,64.7,71.1,58.3,68.4,105.9,2458.6,163613840,68.4,64.0,66.5
IDJ,33.3,36.6,30.0,36.1,115.2,1942.5,69025280,36.6,33.3,35.5
IDV,68.4,75.2,61.6,69.5,0.6,24.9,1707920,69.8,66.5,68.6
INC,12.6,13.8,11.4,13.0,1.0,7.5,97920,13.8,12.5,13.1
INN,39.2,43.1,35.3,39.1,0.3,4.7,183270,39.1,38.7,39.0
IPA,48.9,53.7,44.1,53.0,86.9,737.9,38046570,53.2,49.0,51.4
ITQ,6.5,7.1,5.9,7.1,0.3,696.6,4692470,7.1,6.4,6.7
IVS,13.2,14.5,11.9,14.4,1.2,62.7,855330,14.5,13.1,13.6
KDM,7.2,7.9,6.5,7.6,0.1,91.3,649830,7.6,6.5,7.1
KHS,30.0,33.0,27.0,30.6,0.1,0.1,3060,30.6,30.6,0.0
KKC,26.9,29.5,24.3,0.0,0.0,0.0,0,0.0,0.0,0.0
KLF,5.8,6.3,5.3,6.0,334.1,6793.5,39759560,6.0,5.5,5.8
KMT,10.5,11.5,9.5,10.5,0.1,0.1,1050,10.5,10.5,0.0
KSD,7.7,8.4,7.0,7.8,4.1,14.5,110930,7.8,7.4,7.6
KSF,97.5,107.2,87.8,97.6,1.9,9.8,954210,97.6,97.0,97.3
KSQ,6.2,6.8,5.6,6.8,0.4,225.4,1511980,6.8,6.2,6.7
KST,39.0,42.9,35.1,36.6,0.9,2.1,79530,39.0,36.6,38.8
KTS,20.9,22.9,18.9,20.9,1.4,1.7,35530,20.9,20.9,20.9
KTT,15.9,17.4,14.4,15.8,0.2,3.3,52180,15.9,15.8,15.8
KVC,5.7,6.2,5.2,6.2,0.3,611.6,3701440,6.2,5.5,6.1
L14,317.8,349.5,286.1,349.5,0.1,194.7,61886560,349.5,286.1,317.8
L18,46.2,50.8,41.6,50.8,0.1,121.0,5839120,50.8,42.0,48.3
L35,6.4,7.0,5.8,7.0,0.7,1.5,10500,7.0,7.0,7.0
L40,29.6,32.5,26.7,32.5,0.1,0.2,6500,32.5,32.5,32.5
L43,6.9,7.5,6.3,7.4,1.0,29.5,215500,7.5,6.9,7.3
L61,8.2,9.0,7.4,8.0,0.1,0.2,1610,8.1,8.0,8.0
L62,6.1,6.7,5.5,6.7,0.4,1.4,9160,6.7,6.1,6.5
LAS,15.3,16.8,13.8,15.8,41.8,537.5,8249720,15.8,14.8,15.3
LBE,30.4,33.4,27.4,0.0,0.0,0.0,0,0.0,0.0,0.0
LCD,16.3,17.9,14.7,0.0,0.0,0.0,0,0.0,0.0,0.0
LCS,4.8,5.2,4.4,0.0,0.0,0.0,0,0.0,0.0,0.0
LDP,42.3,46.5,38.1,38.1,0.1,21.7,826770,38.1,38.1,38.1
LHC,177.0,194.7,159.3,175.0,0.3,90.3,15882890,179.8,169.0,175.9
LIG,12.9,14.1,11.7,14.1,0.1,614.4,8357590,14.1,12.9,13.6
LM7,6.9,7.5,6.3,7.1,0.1,2.0,13730,7.1,6.4,6.9
LUT,8.0,8.8,7.2,8.1,0.1,20.3,160690,8.4,7.7,7.9
MAC,8.2,9.0,7.4,8.9,6.1,282.9,2436110,9.0,8.2,8.6
MAS,41.9,46.0,37.8,0.0,0.0,0.0,0,0.0,0.0,0.0
MBG,11.8,12.9,10.7,12.9,0.1,942.3,11828520,12.9,12.0,12.6
MBS,33.4,36.7,30.1,34.1,25.3,794.1,26605430,34.3,32.9,33.5
MCC,13.0,14.3,11.7,0.0,0.0,0.0,0,0.0,0.0,0.0
MCF,9.7,10.6,8.8,9.9,1.0,1.3,12840,9.9,9.7,9.9
MCO,6.4,7.0,5.8,7.0,0.8,3.1,21330,7.0,6.4,6.8
MDC,11.4,12.5,10.3,11.9,0.5,3.1,34920,11.9,11.0,11.1
MED,28.0,30.8,25.2,28.2,0.3,0.4,11280,28.2,28.2,28.2
MEL,15.8,17.3,14.3,15.8,0.1,2.1,32410,15.8,15.4,15.4
MHL,6.5,7.1,5.9,6.9,0.2,18.7,118340,6.9,5.9,6.3
MIM,9.0,9.9,8.1,0.0,0.0,0.0,0,0.0,0.0,0.0
MKV,13.9,15.2,12.6,13.9,1.0,1.1,15290,13.9,13.9,13.9
MST,15.5,17.0,14.0,16.3,0.6,203.7,3257540,16.4,15.0,16.0
MVB,25.0,27.5,22.5,24.5,0.2,2.5,60000,27.3,22.7,24.0
NAG,13.5,14.8,12.2,13.9,2.5,73.0,1007030,14.0,13.5,13.8
NAP,12.5,13.7,11.3,0.0,0.0,0.0,0,0.0,0.0,0.0
NBC,15.7,17.2,14.2,15.2,5.2,448.7,6636190,16.3,14.2,14.8
NBP,18.0,19.8,16.2,19.0,1.0,1.1,20850,19.0,18.5,18.5
NBW,23.1,25.4,20.8,0.0,0.0,0.0,0,0.0,0.0,0.0
NDN,15.1,16.6,13.6,16.5,45.1,827.2,13140360,16.5,15.2,15.8
NDX,9.3,10.2,8.4,10.2,0.1,167.2,1630990,10.2,9.3,9.8
NET,54.3,59.7,48.9,53.9,0.3,5.0,270030,54.3,53.9,54.0
NFC,12.7,13.9,11.5,12.8,0.1,0.2,2480,12.8,12.0,12.4
NHC,31.0,34.1,27.9,0.0,0.0,0.0,0,0.0,0.0,0.0
NRC,19.2,21.1,17.3,20.8,0.1,399.6,7917380,21.1,19.0,19.8
NSH,10.4,11.4,9.4,11.0,14.7,66.6,728150,11.1,10.4,10.9
NST,9.2,10.1,8.3,9.8,0.1,4.6,42610,9.8,9.1,9.3
NTH,39.0,42.9,35.1,39.0,0.3,0.8,31200,39.0,39.0,39.0
NTP,64.4,70.8,58.0,64.4,2.3,148.8,9543070,64.5,63.3,64.1
NVB,29.5,32.4,26.6,30.0,6.1,52.3,1563870,31.6,29.4,29.9
OCH,9.5,10.4,8.6,10.3,5.0,82.8,822940,10.3,9.5,9.9
ONE,8.1,8.9,7.3,8.3,0.3,14.4,115970,8.3,8.0,8.1
PBP,13.1,14.4,11.8,13.8,0.3,0.9,12000,13.8,13.1,13.1
PCE,20.5,22.5,18.5,21.0,4.4,7.4,154220,21.0,20.5,20.8
PCG,8.5,9.3,7.7,9.3,0.4,25.0,211400,9.3,8.0,8.4
PCT,8.2,9.0,7.4,8.0,0.2,10.4,78970,8.0,7.4,7.6
PDB,18.7,20.5,16.9,20.5,0.1,19.2,383270,20.5,19.0,20.0
PDC,6.8,7.4,6.2,7.3,0.1,2.0,13940,7.3,6.9,7.0
PEN,8.5,9.3,7.7,0.0,0.0,0.0,0,0.0,0.0,0.0
PGN,13.4,14.7,12.1,13.3,9.0,23.0,300200,13.3,12.8,12.9
PGS,24.0,26.4,21.6,24.0,3.0,31.9,760160,24.0,23.6,23.8
PGT,10.3,11.3,9.3,10.4,1.5,34.8,348210,10.5,9.8,10.0
PHN,40.1,44.1,36.1,38.1,0.1,0.1,3810,38.1,38.1,38.1
PHP,22.9,25.1,20.7,23.9,1.6,36.1,835230,23.9,22.5,23.1
PIA,26.1,28.7,23.5,25.3,0.2,41.9,1048360,25.5,25.0,25.0
PIC,12.5,13.7,11.3,12.5,0.5,0.5,6250,12.5,12.5,12.5
PJC,23.5,25.8,21.2,23.4,0.2,0.3,7020,23.4,23.4,23.4
PLC,48.9,53.7,44.1,49.3,39.0,633.9,31405690,51.0,47.5,49.6
PMB,13.7,15.0,12.4,15.0,0.1,38.6,571490,15.0,14.4,14.8
PMC,66.8,73.4,60.2,66.3,5.3,9.5,644150,69.9,65.5,67.8
PMP,14.0,15.4,12.6,15.4,0.1,0.1,1540,15.4,15.4,0.0
PMS,20.6,22.6,18.6,22.6,0.1,0.1,2260,22.6,22.6,22.6
POT,18.6,20.4,16.8,17.9,0.1,0.1,1790,17.9,17.9,0.0
PPE,10.0,11.0,9.0,10.0,0.2,1.1,11000,10.0,10.0,10.0
PPP,16.7,18.3,15.1,16.6,0.1,4.9,78900,16.8,15.5,16.1
PPS,13.2,14.5,11.9,13.4,0.2,3.2,41810,13.4,12.9,13.0
PPY,16.7,18.3,15.1,18.3,2.0,5.2,88120,18.3,16.1,16.1
PRC,16.0,17.6,14.4,0.0,0.0,0.0,0,0.0,0.0,0.0
PRE,19.1,21.0,17.2,19.1,3.2,7.1,135610,19.1,19.1,19.1
PSC,14.5,15.9,13.1,15.7,0.3,0.3,4710,15.7,15.7,15.7
PSD,33.2,36.5,29.9,34.4,0.5,70.4,2451080,36.5,33.6,34.8
PSE,15.4,16.9,13.9,16.2,0.1,18.7,296470,16.2,15.5,15.9
PSI,14.6,16.0,13.2,15.5,9.7,270.2,4015760,15.5,14.5,14.8
PSW,15.8,17.3,14.3,17.3,1.8,79.7,1317960,17.3,15.6,16.5
PTD,15.0,16.5,13.5,14.5,0.2,0.2,2900,14.5,14.5,14.5
PTI,59.7,65.6,53.8,59.7,0.5,16.3,970450,59.7,59.4,59.5
PTS,12.7,13.9,11.5,11.7,3.5,4.1,48470,12.7,11.7,12.5
PV2,6.8,7.4,6.2,7.4,1.1,329.4,2317090,7.4,6.2,7.0
PVB,18.4,20.2,16.6,18.5,12.3,54.2,993520,18.5,18.0,18.3
PVC,15.1,16.6,13.6,15.5,4.9,741.2,11187180,15.5,14.8,15.1
PVG,11.8,12.9,10.7,12.0,2.2,151.7,1781340,12.4,11.5,11.7
PVI,46.0,50.6,41.4,46.2,5.8,101.0,4648550,46.5,45.9,46.0
PVL,10.3,11.3,9.3,11.3,0.1,2484.2,24276530,11.3,9.3,9.8
PVS,28.7,31.5,25.9,28.5,309.3,5666.4,162334130,29.1,28.3,28.7
QHD,44.1,48.5,39.7,0.0,0.0,0.0,0,0.0,0.0,0.0
QST,15.9,17.4,14.4,0.0,0.0,0.0,0,0.0,0.0,0.0
QTC,15.5,17.0,14.0,17.0,0.8,15.7,266180,17.0,16.9,17.0
RCL,19.1,21.0,17.2,19.1,1.5,1.5,28650,19.1,19.1,19.1
S55,48.5,53.3,43.7,48.0,2.0,2.4,115120,48.0,47.7,48.0
S99,18.2,20.0,16.4,19.6,8.4,420.1,7975660,19.6,18.0,19.0
SAF,60.0,66.0,54.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SCG,83.0,91.3,74.7,91.3,0.2,259.0,22466650,91.3,83.0,86.7
SCI,27.5,30.2,24.8,28.4,21.4,328.5,9148790,28.5,27.1,27.8
SD2,10.0,11.0,9.0,10.5,0.1,7.6,74150,11.0,9.1,9.7
SD4,7.8,8.5,7.1,8.5,1.4,15.6,127070,8.5,7.2,8.1
SD5,10.9,11.9,9.9,11.7,0.9,125.0,1421150,11.7,10.8,11.4
SD6,7.8,8.5,7.1,8.5,2.3,198.1,1635030,8.5,7.9,8.3
SD9,10.7,11.7,9.7,11.6,2.0,162.1,1829180,11.7,10.6,11.3
SDA,22.4,24.6,20.2,23.4,2.0,65.0,1471870,24.6,20.7,22.6
SDC,9.5,10.4,8.6,0.0,0.0,0.0,0,0.0,0.0,0.0
SDG,28.8,31.6,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SDN,44.8,49.2,40.4,0.0,0.0,0.0,0,0.0,0.0,0.0
SDT,8.0,8.8,7.2,8.3,8.7,149.4,1208080,8.5,7.8,8.1
SDU,20.9,22.9,18.9,18.9,0.1,0.2,4030,21.4,18.9,20.2
SEB,51.0,56.1,45.9,0.0,0.0,0.0,0,0.0,0.0,0.0
SED,22.3,24.5,20.1,24.1,1.1,31.8,721740,24.5,22.3,22.6
SFN,27.0,29.7,24.3,26.1,0.1,1.7,47550,28.1,26.1,28.1
SGC,88.4,97.2,79.6,96.9,0.1,0.1,9690,96.9,96.9,96.9
SGD,10.5,11.5,9.5,0.0,0.0,0.0,0,0.0,0.0,0.0
SGH,55.0,60.5,49.5,0.0,0.0,0.0,0,0.0,0.0,0.0
SHE,15.0,16.5,13.5,15.0,0.1,1.0,14460,15.0,14.0,14.4
SHN,15.7,17.2,14.2,15.7,0.1,10.0,155860,15.7,15.5,15.6
SHS,41.5,45.6,37.4,42.5,168.0,4704.3,197073310,43.0,41.0,41.9
SIC,16.5,18.1,14.9,18.1,0.1,0.8,12610,18.1,15.0,15.8
SJ1,16.3,17.9,14.7,0.0,0.0,0.0,0,0.0,0.0,0.0
SJE,27.4,30.1,24.7,27.3,2.0,3.1,83750,27.3,26.5,26.5
SLS,158.6,174.4,142.8,158.4,1.9,7.5,1188140,158.8,158.2,158.4
SMN,13.8,15.1,12.5,0.0,0.0,0.0,0,0.0,0.0,0.0
SMT,13.0,14.3,11.7,14.3,0.7,146.8,2060620,14.3,11.7,14.0
SPI,9.9,10.8,9.0,10.0,8.7,59.8,590050,10.0,9.6,9.8
SRA,9.7,10.6,8.8,10.3,7.1,313.2,3075460,10.4,9.4,9.8
SSM,6.7,7.3,6.1,0.0,0.0,0.0,0,0.0,0.0,0.0
STC,19.8,21.7,17.9,21.7,9.6,31.8,677200,21.7,19.7,21.1
STP,9.5,10.4,8.6,10.0,0.1,15.1,141100,10.0,9.3,9.3
SVN,6.1,6.7,5.5,6.7,0.2,66.6,435890,6.7,6.1,6.5
SZB,41.9,46.0,37.8,41.0,2.3,57.4,2371780,42.7,39.3,41.3
TA9,12.5,13.7,11.3,13.0,0.1,7.9,98100,13.0,12.2,12.4
TAR,31.5,34.6,28.4,34.6,1.0,1793.5,57359570,34.6,28.6,32.0
TBX,22.3,24.5,20.1,0.0,0.0,0.0,0,0.0,0.0,0.0
TC6,10.0,11.0,9.0,10.3,0.5,56.2,569190,10.8,9.7,10.1
TDN,12.5,13.7,11.3,13.0,0.2,83.7,1059690,13.0,12.4,12.7
TDT,12.3,13.5,11.1,13.0,2.3,120.9,1519740,13.0,12.0,12.6
TET,31.5,34.6,28.4,0.0,0.0,0.0,0,0.0,0.0,0.0
TFC,10.4,11.4,9.4,9.6,0.1,0.9,8500,9.6,9.4,9.4
THB,15.0,16.5,13.5,0.0,0.0,0.0,0,0.0,0.0,0.0
THD,188.0,206.8,169.2,169.2,0.2,142.4,25190900,189.2,169.2,176.9
THS,16.5,18.1,14.9,14.9,0.1,0.3,4790,16.5,14.9,16.0
THT,12.8,14.0,11.6,12.8,5.4,74.0,942700,12.9,12.4,12.7
TIG,21.0,23.1,18.9,22.8,18.0,900.8,19407380,23.0,20.0,21.5
TJC,15.6,17.1,14.1,16.9,0.1,0.1,1690,16.9,16.9,16.9
TKC,10.9,11.9,9.9,11.8,0.1,17.4,186860,11.8,10.0,10.7
TKU,27.9,30.6,25.2,27.0,1.0,3.4,92280,27.8,27.0,27.2
TMB,14.9,16.3,13.5,15.0,0.1,2.4,36000,15.0,15.0,15.0
TMC,12.0,13.2,10.8,12.3,0.1,5.8,69730,12.3,12.0,12.0
TMX,11.2,12.3,10.1,11.3,0.1,0.7,7910,11.3,11.3,11.3
TNG,30.0,33.0,27.0,30.8,59.2,1137.9,34710140,31.3,30.0,30.5
TOT,11.4,14.8,8.0,14.8,0.5,18.8,278140,14.8,14.6,14.8
TPH,10.0,11.0,9.0,9.0,0.1,0.2,2000,11.0,9.0,10.0
TPP,11.5,12.6,10.4,12.3,0.1,8.3,88190,12.3,10.5,10.6
TSB,11.7,12.8,10.6,10.6,0.2,5.8,62140,11.7,10.6,10.7
TST,13.6,14.9,12.3,13.5,0.2,3.7,50650,14.9,13.5,13.7
TTC,15.9,17.4,14.4,15.9,0.1,0.2,3050,15.9,14.6,14.6
TTH,5.7,6.2,5.2,6.2,0.2,954.2,5592470,6.2,5.3,5.9
TTL,14.0,15.4,12.6,14.8,0.1,2.1,30530,15.0,14.0,14.5
TTT,43.5,47.8,39.2,47.8,0.1,0.2,9560,47.8,47.8,47.8
TTZ,6.0,6.6,5.4,6.6,0.3,33.7,213650,6.6,5.6,6.3
TV3,21.5,23.6,19.4,21.3,1.2,49.8,1067470,22.0,21.0,21.4
TV4,16.6,18.2,15.0,16.9,0.1,7.0,115370,16.9,16.4,16.5
TVC,18.2,20.0,16.4,19.5,107.7,1237.0,23049950,19.5,17.9,18.6
TVD,12.2,13.4,11.0,12.4,1.0,93.1,1116830,12.5,11.8,12.0
TXM,6.9,7.5,6.3,7.4,0.5,9.2,65950,7.4,6.4,7.2
UNI,17.5,19.2,15.8,18.0,0.2,1.2,20600,18.0,17.0,17.2
V12,20.0,22.0,18.0,21.0,0.2,8.8,180310,21.0,20.2,20.5
V21,10.2,11.2,9.2,11.0,0.1,29.3,318220,11.2,10.3,10.9
VBC,27.5,30.2,24.8,0.0,0.0,0.0,0,0.0,0.0,0.0
VC1,19.6,21.5,17.7,20.9,0.1,21.9,427350,20.9,18.7,19.5
VC2,43.5,47.8,39.2,47.1,22.2,75.6,3484800,47.5,43.5,45.7
VC3,57.2,62.9,51.5,57.5,4.0,305.3,17309620,58.0,54.4,56.7
VC6,12.2,13.4,11.0,12.2,0.2,1.3,14660,12.2,11.0,11.3
VC7,17.7,19.4,16.0,19.4,0.5,367.9,6689690,19.4,16.4,18.2
VC9,11.9,13.0,10.8,12.9,0.1,12.0,150760,13.0,11.8,12.6
VCC,29.6,32.5,26.7,31.6,0.5,19.5,589290,31.8,29.5,30.2
VCM,18.0,19.8,16.2,17.9,1.4,1.4,25060,17.9,17.9,17.9
VCS,106.2,116.8,95.6,108.8,0.2,77.6,8351230,109.3,106.0,107.6
VDL,20.0,22.0,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0
VE1,5.8,6.3,5.3,6.3,2.0,6.2,38800,6.3,6.0,6.2
VE2,7.8,8.5,7.1,7.3,0.1,0.1,730,7.3,7.3,0.0
VE3,9.2,10.1,8.3,10.0,0.3,42.6,423610,10.1,8.5,9.9
VE4,60.0,66.0,54.0,0.0,0.0,0.0,0,0.0,0.0,0.0
VE8,9.0,9.9,8.1,9.6,0.1,2.2,20800,9.7,8.4,9.4
VGP,30.6,33.6,27.6,0.0,0.0,0.0,0,0.0,0.0,0.0
VGS,34.3,37.7,30.9,37.3,16.4,223.5,7780290,37.3,32.5,34.6
VHE,7.7,8.4,7.0,8.4,0.3,254.2,2110280,8.4,7.7,8.3
VHL,26.5,29.1,23.9,0.0,0.0,0.0,0,0.0,0.0,0.0
